nFacID;cFacSerie;cFacNumero;cComCodigo;cConVoucher;idProveedor;nMon_ID;nTC;desRUC;desProveedor;desDireccion;idFormaPago;Descripcion;cMonNombre;nComDetalle;idInsumo;nFacDCantidad;nFacDPrecio;nFacDAfecto;nFacDExento;nFacDDcto;nFacDIGV;nFacDIGVPercep;nFacDMonto;cInsCod;cInsSerie;DesLogIns;idUnidadMedida;DesLogUniMed;idTipoInsumo;DesTipoInsumo;nSubID;cSubDescripcion;dFacFecDoc;dFacFecOpera;dFechaSistema;dFacFecAnulo;dFechaVencimiento;dFacFecCancelo;nSucID;cSucCodigo;cSucNombre;cFacOCRefer;idContrato;Contrato;Nombre;sFacTipo;nFacMonto;cMonSimbolo;nNotUnico;cUsuFecha;estado
335;001;0006298        ;FC ;3     ;7;1;2.993;20512834656              ;ECOREP S.A.C.                                                                                       ;AV. JAVIER PRADO ESTE NRO. 1520 LIMA - LIMA - SAN ISIDRO                                            ;1;CONTADO;Nuevos Soles;FACTURA;912;1;31.53;31.53;0;0;5.9907;0;37.5207;E211.2103                                         ;                                                                                                    ;FILTRO DE AIRE EXTERNO                                                                              ;1;UNIDAD (ES)                                       ;1;FILTRO                                  ;40;FILTRO PARA AIRE.;39735;39735;39735;;39825;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;45.74;S/;0;39735.61888;1
336;002;0064362        ;FC ;4     ;11;2;2.993;20100322456              ;IMPORTADORA DE RODAMIENTOS S.A.C.                                                                   ;JR JUAN FANNING 400 BARRANCO- LIMA 4                                                                ;19;FACTURA 30 DIAS;Dólares Americanos;FACTURA;968;1;59.7;59.7;0;0;11.343;0;71.043;XKAY-00163CP                                      ;                                                                                                    ;RODAJE                                                                                              ;1;UNIDAD (ES)                                       ;8;ESTRUCTURA                              ;177;RODAJE.;39749;39749;39749;;39779;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;71.04;$;0;39749.48035;1
337;001;0006453        ;FC ;5     ;7;2;2.993;20512834656              ;ECOREP S.A.C.                                                                                       ;AV. JAVIER PRADO ESTE NRO. 1520 LIMA - LIMA - SAN ISIDRO                                            ;12;LETRA ;Dólares Americanos;FACTURA;26;10;6.91;69.1;0;0;13.129;0;82.229;FS1280                                            ;                                                                                                    ;FILTRO SEPARADOR DE AGUA(11E1-70210)                                                                ;1;UNIDAD (ES)                                       ;1;FILTRO                                  ;27;FILTRO SEPARADOR DE PETROLEO;39749;39749;39749;;39749;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;417.32;$;0;39749.70881;1
337;001;0006453        ;FC ;5     ;7;2;2.993;20512834656              ;ECOREP S.A.C.                                                                                       ;AV. JAVIER PRADO ESTE NRO. 1520 LIMA - LIMA - SAN ISIDRO                                            ;12;LETRA ;Dólares Americanos;FACTURA;7;10;13.83;138.3;0;0;26.277;0;164.577;FF5580                                            ;FF5580                                                                                              ;FILTRO DE COMBUSTIBLE (11LB-70020)                                                                  ;1;UNIDAD (ES)                                       ;1;FILTRO                                  ;3;FILTRO DE PETROLEO ;39749;39749;39749;;39749;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;417.32;$;0;39749.70881;1
337;001;0006453        ;FC ;5     ;7;2;2.993;20512834656              ;ECOREP S.A.C.                                                                                       ;AV. JAVIER PRADO ESTE NRO. 1520 LIMA - LIMA - SAN ISIDRO                                            ;12;LETRA ;Dólares Americanos;FACTURA;13;10;5.95;59.5;0;0;11.305;0;70.805;FF5052                                            ;                                                                                                    ; FILTRO DE PETROLEO (FF42000)                                                                       ;1;UNIDAD (ES)                                       ;1;FILTRO                                  ;1;AIRE ACONDICIONADO;39749;39749;39749;;39749;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;417.32;$;0;39749.70881;1
337;001;0006453        ;FC ;5     ;7;2;2.993;20512834656              ;ECOREP S.A.C.                                                                                       ;AV. JAVIER PRADO ESTE NRO. 1520 LIMA - LIMA - SAN ISIDRO                                            ;12;LETRA ;Dólares Americanos;FACTURA;928;2;31.53;63.06;0;0;11.9814;0;75.0414;E211-2103CP                                       ;                                                                                                    ;FILTRO DE AIRE EXTERNO (E211-2103)                                                                  ;1;UNIDAD (ES)                                       ;1;FILTRO                                  ;159;ELEMENT;39749;39749;39749;;39749;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;417.32;$;0;39749.70881;1
337;001;0006453        ;FC ;5     ;7;2;2.993;20512834656              ;ECOREP S.A.C.                                                                                       ;AV. JAVIER PRADO ESTE NRO. 1520 LIMA - LIMA - SAN ISIDRO                                            ;12;LETRA ;Dólares Americanos;FACTURA;971;1;20.73;20.73;0;0;3.9387;0;24.6687;E211-2104CP                                       ;                                                                                                    ;FILTRO DE AIRE INTERNO (E211-2104)                                                                  ;1;UNIDAD (ES)                                       ;1;FILTRO                                  ;159;ELEMENT;39749;39749;39749;;39749;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;417.32;$;0;39749.70881;1
338;001;0021721        ;FC ;6     ;5;1;0;20100063761              ;FUNDICION CENTRAL S.A.                                                                              ;Mz C Lote 10, Calle1 - Urb. Santa Raquel- Ate Lima - Perú                                           ;12;LETRA ;Nuevos Soles;FACTURA;1000;16;86.4;1382.4;0;0;262.656;0;1645.056;64L3-01290CP                                      ;                                                                                                    ;PUNTA HL757-7 (64L3-01290)                                                                          ;1;UNIDAD (ES)                                       ;8;ESTRUCTURA                              ;267;PUNTA;39752;39752;39756;;39782;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;1645.06;S/;0;39756.41237;1
339;001;0021695        ;FC ;7     ;5;1;0;20100063761              ;FUNDICION CENTRAL S.A.                                                                              ;Mz C Lote 10, Calle1 - Urb. Santa Raquel- Ate Lima - Perú                                           ;12;LETRA ;Nuevos Soles;FACTURA;888;5;201.69;1008.45;0;0;191.6055;0;1200.0555;61E7-0101CP                                       ;                                                                                                    ;PUNTA R360LC7-A                                                                                     ;1;UNIDAD (ES)                                       ;8;ESTRUCTURA                              ;267;PUNTA;39751;39751;39756;;39782;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;2159.67;S/;0;39756.41831;1
339;001;0021695        ;FC ;7     ;5;1;0;20100063761              ;FUNDICION CENTRAL S.A.                                                                              ;Mz C Lote 10, Calle1 - Urb. Santa Raquel- Ate Lima - Perú                                           ;12;LETRA ;Nuevos Soles;FACTURA;889;6;134.4;806.4;0;0;153.216;0;959.616;61N8-31310CP                                      ;                                                                                                    ;PUNTA (R250LC-7 R305LC-7)                                                                           ;1;UNIDAD (ES)                                       ;8;ESTRUCTURA                              ;267;PUNTA;39751;39751;39756;;39782;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;2159.67;S/;0;39756.41831;1
340;001;0021744        ;FC ;1     ;5;1;2.993;20100063761              ;FUNDICION CENTRAL S.A.                                                                              ;Mz C Lote 10, Calle1 - Urb. Santa Raquel- Ate Lima - Perú                                           ;12;LETRA ;Nuevos Soles;FACTURA;888;6;201.69;1210.14;0;0;229.9266;0;1440.0666;61E7-0101CP                                       ;                                                                                                    ;PUNTA R360LC7-A                                                                                     ;1;UNIDAD (ES)                                       ;8;ESTRUCTURA                              ;267;PUNTA;39757;39757;39757;;39757;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;1440.07;S/;0;39757.74527;1
341;001;30818          ;FC ;2     ;5;1;2.993;20100063761              ;FUNDICION CENTRAL S.A.                                                                              ;Mz C Lote 10, Calle1 - Urb. Santa Raquel- Ate Lima - Perú                                           ;12;LETRA ;Nuevos Soles;FACTURA;888;6;201.69;1210.14;0;0;229.9266;0;1440.0666;61E7-0101CP                                       ;                                                                                                    ;PUNTA R360LC7-A                                                                                     ;1;UNIDAD (ES)                                       ;8;ESTRUCTURA                              ;267;PUNTA;39762;39762;39762;;39762;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;1440.07;S/;0;39762.76164;1
342;001;011627         ;FC ;3     ;13;1;2.993;20102258925              ;METSER S.R. LTDA                                                                                    ;AGUSTIN GAMARRA # 480 URB IND. RL PINO - SAN LUIS                                                   ;13;DEPOSITO;Nuevos Soles;FACTURA;1054;8;6;48;0;0;9.12;0;57.12;64L3-01310CP                                      ;                                                                                                    ;ARANDELA DE SEGURIDAD PIN HL757                                                                     ;1;UNIDAD (ES)                                       ;17;PERNERIA                                ;192;ARANDELA DE PRESION PARA PERNOS;39763;39763;39763;;39763;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;209.44;S/;0;39763.47371;1
342;001;011627         ;FC ;3     ;13;1;2.993;20102258925              ;METSER S.R. LTDA                                                                                    ;AGUSTIN GAMARRA # 480 URB IND. RL PINO - SAN LUIS                                                   ;13;DEPOSITO;Nuevos Soles;FACTURA;1053;16;8;128;0;0;24.32;0;152.32;64L3-01300CP                                      ;                                                                                                    ;PIN DE UÑAS HL757 (64L3-01300)                                                                      ;1;UNIDAD (ES)                                       ;8;ESTRUCTURA                              ;15;PIN;39763;39763;39763;;39763;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;209.44;S/;0;39763.47371;1
343;001;001837         ;FC ;4     ;12;2;2.993;20502692306              ;STEEL SUPPLY S.A.C.                                                                                 ;RENDÓN 242 - LIMA 41                                                                                ;1;CONTADO;Dólares Americanos;FACTURA;1039;2;168;336;0;0;63.84;0;399.84;61N8-05320CP                                      ;                                                                                                    ;PIN HL 757-7 (61N8-05320)                                                                           ;1;UNIDAD (ES)                                       ;8;ESTRUCTURA                              ;15;PIN;39764;39764;39764;;39854;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;399.84;$;0;39764.59567;1
344;002;0064657        ;FC ;5     ;11;2;2.993;20100322456              ;IMPORTADORA DE RODAMIENTOS S.A.C.                                                                   ;JR JUAN FANNING 400 BARRANCO- LIMA 4                                                                ;19;FACTURA 30 DIAS;Dólares Americanos;FACTURA;1032;2;41.22;82.44;0;0;15.6636;0;98.1036;XJBN-00571CP                                      ;                                                                                                    ;RODAJE DE RODILLOS                                                                                  ;1;UNIDAD (ES)                                       ;8;ESTRUCTURA                              ;177;RODAJE.;39764;39764;39764;;39794;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;98.1;$;0;39764.61647;1
345;023;0013800        ;FC ;6     ;1;2;3.1;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;1;CONTADO;Dólares Americanos;FACTURA;1111;1;60.61;60.61;0;0;11.5159;0;72.1259;3329083CP                                         ;                                                                                                    ;VARILLA DE ACEITE MOTOR (DIPSTICK)                                                                  ;1;UNIDAD (ES)                                       ;13;MOTOR                                   ;61;VARILLA DE EMPUJE;39776;39776;39776;;39866;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;72.13;$;0;39776.4764;1
346;023;0013838        ;FC ;7     ;1;2;3.1;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;1;CONTADO;Dólares Americanos;FACTURA;1144;1;8.084;8.084;0;0;1.53596;0;9.61996;3905802CP                                         ;                                                                                                    ;TUBO DE INDICADOR DE NIVEL DE ACEITE DE FINAL (3905802)                                             ;1;UNIDAD (ES)                                       ;13;MOTOR                                   ;49;EMPAQUE;39776;39776;39778;;39866;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;72.79;$;0;39778.59928;1
346;023;0013838        ;FC ;7     ;1;2;3.1;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;1;CONTADO;Dólares Americanos;FACTURA;1145;1;26.4403;26.4403;0;0;5.02366;0;31.46396;3908308CP                                         ;                                                                                                    ;TUBO - INDICADOR NIVEL DE ACEITE (3908308)                                                          ;1;UNIDAD (ES)                                       ;13;MOTOR                                   ;216;TUBO ACEITE;39776;39776;39778;;39866;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;72.79;$;0;39778.59928;1
346;023;0013838        ;FC ;7     ;1;2;3.1;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;1;CONTADO;Dólares Americanos;FACTURA;1146;1;26.644;26.644;0;0;5.06236;0;31.70636;3910120CP                                         ;                                                                                                    ;TUBO - INDICADOR NIVEL DE ACEITE(3910120)                                                           ;1;UNIDAD (ES)                                       ;13;MOTOR                                   ;216;TUBO ACEITE;39776;39776;39778;;39866;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;72.79;$;0;39778.59928;1
347;023;0013837        ;FC ;8     ;1;2;3.1;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;1;CONTADO;Dólares Americanos;FACTURA;1143;6;5.0285;30.171;0;0;5.73249;0;35.90349;3930906CP                                         ;                                                                                                    ;EMPAQUETADURA DE TAPA DE BALANCÍN                                                                   ;1;UNIDAD (ES)                                       ;13;MOTOR                                   ;49;EMPAQUE;39776;39776;39778;;39808;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;35.9;$;0;39778.60153;1
348;023;0013875        ;FC ;1     ;1;2;3.1;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;1;CONTADO;Dólares Americanos;FACTURA;1157;1;62.04;62.04;0;0;11.7876;0;73.8276;3938655CP                                         ;                                                                                                    ;EMPAQUE (3938655)                                                                                   ;1;UNIDAD (ES)                                       ;15;ARO / SELLO                             ;130;RETENES;39783;39783;39783;;39783;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;78.73;$;0;39783.50843;1
348;023;0013875        ;FC ;1     ;1;2;3.1;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;1;CONTADO;Dólares Americanos;FACTURA;1156;1;4.1206;4.1206;0;0;0.78291;0;4.90351;3935646CP                                         ;                                                                                                    ;EJE DE ACCIONAMIENTO (3935646)                                                                      ;1;UNIDAD (ES)                                       ;9;ENGRANE                                 ;126;PIÑON;39783;39783;39783;;39783;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;78.73;$;0;39783.50843;1
349;023;0013879        ;FC ;2     ;1;2;3.1;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;1;CONTADO;Dólares Americanos;FACTURA;1143;6;5.03;30.18;0;0;5.7342;0;35.9142;3930906CP                                         ;                                                                                                    ;EMPAQUETADURA DE TAPA DE BALANCÍN                                                                   ;1;UNIDAD (ES)                                       ;13;MOTOR                                   ;49;EMPAQUE;39783;39783;39783;;39814;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;35.91;$;0;39783.45924;1
350;026;19137          ;FC ;3     ;1;2;3.1;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;1;CONTADO;Dólares Americanos;FACTURA;1197;6;16.8489;101.0934;0;0;19.20775;0;120.30115;3802463CP                                         ;                                                                                                    ;VALVULA DE ADMISIÓN                                                                                 ;1;UNIDAD (ES)                                       ;13;MOTOR                                   ;23;VALVULAS;39786;39786;39786;;39786;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;682.61;$;0;39786.63063;1
350;026;19137          ;FC ;3     ;1;2;3.1;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;1;CONTADO;Dólares Americanos;FACTURA;1198;6;20.2885;121.731;0;0;23.12889;0;144.85989;3802085CP                                         ;                                                                                                    ;VÁLVULA DE ESCAPE                                                                                   ;1;UNIDAD (ES)                                       ;13;MOTOR                                   ;23;VALVULAS;39786;39786;39786;;39786;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;682.61;$;0;39786.63063;1
350;026;19137          ;FC ;3     ;1;2;3.1;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;1;CONTADO;Dólares Americanos;FACTURA;1200;12;13.25;159;0;0;30.21;0;189.21;3923564CP                                         ;                                                                                                    ;GUÍA DE VÁLVULA                                                                                     ;1;UNIDAD (ES)                                       ;13;MOTOR                                   ;150;GUÍA DE VÁLVULA;39786;39786;39786;;39786;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;682.61;$;0;39786.63063;1
350;026;19137          ;FC ;3     ;1;2;3.1;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;1;CONTADO;Dólares Americanos;FACTURA;1199;6;16.4822;98.8932;0;0;18.78971;0;117.68291;3924582CP                                         ;                                                                                                    ;ASIENTO DE VÁLVULA DE ADMISIÓN                                                                      ;1;UNIDAD (ES)                                       ;13;MOTOR                                   ;148;ASIENTO DE VALVULA ;39786;39786;39786;;39786;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;682.61;$;0;39786.63063;1
350;026;19137          ;FC ;3     ;1;2;3.1;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;1;CONTADO;Dólares Americanos;FACTURA;1201;6;8.1538;48.9228;0;0;9.29533;0;58.21813;3928174CP                                         ;                                                                                                    ;ASIENTO DE VÁLVULA DE ESCAPE                                                                        ;1;UNIDAD (ES)                                       ;13;MOTOR                                   ;148;ASIENTO DE VALVULA ;39786;39786;39786;;39786;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;682.61;$;0;39786.63063;1
350;026;19137          ;FC ;3     ;1;2;3.1;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;1;CONTADO;Dólares Americanos;FACTURA;854;6;7.33;43.98;0;0;8.3562;0;52.3362;3970951CP                                         ;                                                                                                    ;BOCINA DE BIELA                                                                                     ;1;UNIDAD (ES)                                       ;13;MOTOR                                   ;143;BOCINA .;39786;39786;39786;;39786;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;682.61;$;0;39786.63063;1
351;026;18759          ;FC ;4     ;1;2;3.1;20302241598              ;KOMATSU-MITSUI MAQUINARIAS PERU S.A.                                                                ;AV. ARGENTINA 4453 - CALLAO                                                                         ;1;CONTADO;Dólares Americanos;FACTURA;1196;1;2236.5242;2236.5242;0;0;424.9396;0;2661.4638;4955181CP                                         ;                                                                                                    ;KIT DE OVERHAUL                                                                                     ;1;UNIDAD (ES)                                       ;13;MOTOR                                   ;149;KIT DE CILINDRO MOTOR;39786;39786;39786;;39817;;1;SC1;SUCURSAL 1                                                                                          ;                                                  ;0;NINGUNO.;;C;2661.46;$;0;39786.63127;1
