id;fecha;raz_soc_prove;mat_id;med_id;cantidad;precio;idMoneda;TCV_a_Soles;Precio_S;Subtotal_S
01317-10-2013;27/09/2013;SUMINISTROS GENERALES Y MANTENIMIENTO INDUSTRIAL SRL;01020010028;4;2;5.32;2;2.766;14.71512;29.43024
01317-10-2013;27/09/2013;SUMINISTROS GENERALES Y MANTENIMIENTO INDUSTRIAL SRL;01020040006;4;0.5;24.21;2;2.766;66.96486;33.48243
01317-10-2013;27/09/2013;SUMINISTROS GENERALES Y MANTENIMIENTO INDUSTRIAL SRL;01040010070;4;0.08;244.92;2;2.766;677.44872;54.195898
01317-10-2013;27/09/2013;SUMINISTROS GENERALES Y MANTENIMIENTO INDUSTRIAL SRL;01020010038;4;0.3;4.47;2;2.766;12.36402;3.709206
01317-10-2013;27/09/2013;SUMINISTROS GENERALES Y MANTENIMIENTO INDUSTRIAL SRL;01020040061;4;1;3.6;2;2.766;9.9576;9.9576
01317-10-2013;27/09/2013;SUMINISTROS GENERALES Y MANTENIMIENTO INDUSTRIAL SRL;01020030082;4;0.6;32.93;2;2.766;91.08438;54.650628
01317-10-2013;27/09/2013;SUMINISTROS GENERALES Y MANTENIMIENTO INDUSTRIAL SRL;01020040062;4;0.6;14.07;2;2.766;38.91762;23.350572
01317-10-2013;27/09/2013;SUMINISTROS GENERALES Y MANTENIMIENTO INDUSTRIAL SRL;01020010030;4;0.6;5.66;2;2.766;15.65556;9.393336
01317-10-2013;27/09/2013;SUMINISTROS GENERALES Y MANTENIMIENTO INDUSTRIAL SRL;01020040060;4;0.3;7.41;2;2.766;20.49606;6.148818
01319-10-2013;28/09/2013;RIO INDUSTRIAL S.A.C;01080010005;2;3350;3.75;1;1;3.75;12562.5
01320-10-2013;28/09/2013;CORPORACION MARA S.A.;01090010005;3;126.72;110.15;1;1;110.15;13958.208
01320-10-2013;28/09/2013;CORPORACION MARA S.A.;01090010006;3;280;62.79;1;1;62.79;17581.2
01320-10-2013;28/09/2013;CORPORACION MARA S.A.;01090040001;3;70;34;1;1;34;2380
01320-10-2013;28/09/2013;CORPORACION MARA S.A.;01090090010;3;26;34;1;1;34;884
01322-10-2013;30/09/2013;A&J TECNEX E.I.R.L.;05020010006;16;12;63.56;1;1;63.56;762.72
01323-10-2013;30/09/2013;MIXERCON S.A.;01030010001;17;10;230;1;1;230;2300
01323-10-2013;30/09/2013;MIXERCON S.A.;01030010003;17;5;295;1;1;295;1475
01324-10-2013;30/09/2013;SODIMAC PERU SA;05020010007;21;100;7.54;1;1;7.54;754
01326-10-2013;1/10/2013;DIMARI TOTAL SECURITY EIRL ;05020020022;18;2;27.97;1;1;27.97;55.94
01326-10-2013;1/10/2013;DIMARI TOTAL SECURITY EIRL ;05020020023;18;1;27.97;1;1;27.97;27.97
01326-10-2013;1/10/2013;DIMARI TOTAL SECURITY EIRL ;05020020024;18;3;27.97;1;1;27.97;83.91
01326-10-2013;1/10/2013;DIMARI TOTAL SECURITY EIRL ;05020020025;16;6;3.39;1;1;3.39;20.34
01326-10-2013;1/10/2013;DIMARI TOTAL SECURITY EIRL ;05020020026;16;6;1.25;1;1;1.25;7.5
01327-10-2013;1/10/2013;GMR INVERSIONES SAC;03020010008;16;24;13.56;1;1;13.56;325.44
01328-10-2013;1/10/2013;GMR INVERSIONES SAC;03020010008;16;6;13.56;1;1;13.56;81.36
01329-10-2013;3/10/2013;TRADI S.A.;01010110151;2;19;294.02;1;1;294.02;5586.38
01330-10-2013;1/10/2013;DIMARI TOTAL SECURITY EIRL ;02060030024;16;12;4.85;1;1;4.85;58.2
01330-10-2013;1/10/2013;DIMARI TOTAL SECURITY EIRL ;02060030025;16;12;4.3;1;1;4.3;51.6
01330-10-2013;1/10/2013;DIMARI TOTAL SECURITY EIRL ;02060030026;16;12;9.46;1;1;9.46;113.52
01330-10-2013;1/10/2013;DIMARI TOTAL SECURITY EIRL ;02060020004;7;20;2.25;1;1;2.25;45
01330-10-2013;1/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010033;16;50;1.73;1;1;1.73;86.5
01330-10-2013;1/10/2013;DIMARI TOTAL SECURITY EIRL ;02060030024;16;30;4.85;1;1;4.85;145.5
01330-10-2013;1/10/2013;DIMARI TOTAL SECURITY EIRL ;02060030027;16;30;4.85;1;1;4.85;145.5
01333-10-2013;1/10/2013;SEDISA SAC;01100010001;7;120;7.87;1;1;7.87;944.4
01333-10-2013;1/10/2013;SEDISA SAC;01100010010;7;120;7.8;1;1;7.8;936
01331-10-2013;1/10/2013;SEDISA SAC;01100010001;7;100;7.87;1;1;7.87;787
01331-10-2013;1/10/2013;SEDISA SAC;01100010010;7;100;7.8;1;1;7.8;780
01332-10-2013;1/10/2013;QUIMICA INDUSTRIAL SALKANTAY SAC;01090090011;3;5;10.51;1;1;10.51;52.55
01334-10-2013;1/10/2013;QUIMICA INDUSTRIAL SALKANTAY SAC;01090090011;3;15;10.51;1;1;10.51;157.65
01335-10-2013;2/10/2013;DIMARI TOTAL SECURITY EIRL ;02060030024;16;12;4.85;1;1;4.85;58.2
01335-10-2013;2/10/2013;DIMARI TOTAL SECURITY EIRL ;02060030025;16;12;4.3;1;1;4.3;51.6
01335-10-2013;2/10/2013;DIMARI TOTAL SECURITY EIRL ;02060030026;16;12;9.46;1;1;9.46;113.52
01448-10-2013;16/10/2013;SODIMAC PERU SA;03010020006;16;25;83.98305;1;1;83.98305;2099.57625
01448-10-2013;16/10/2013;SODIMAC PERU SA;03010020007;16;25;14.576271;1;1;14.576271;364.406775
01448-10-2013;16/10/2013;SODIMAC PERU SA;03010020008;16;5;14.661016;1;1;14.661016;73.30508
01336-10-2013;2/10/2013;SODIMAC PERU SA;05020020027;16;6;7.54;1;1;7.54;45.24
01336-10-2013;2/10/2013;SODIMAC PERU SA;05020020028;16;47;3.38;1;1;3.38;158.86
01336-10-2013;2/10/2013;SODIMAC PERU SA;06010010001;22;4;16.86;1;1;16.86;67.44
01336-10-2013;2/10/2013;SODIMAC PERU SA;05010010002;16;1;309.24;1;1;309.24;309.24
01336-10-2013;2/10/2013;SODIMAC PERU SA;05020020029;16;48;1.53;1;1;1.53;73.44
01336-10-2013;2/10/2013;SODIMAC PERU SA;05020020030;16;6;28.48;1;1;28.48;170.88
01336-10-2013;2/10/2013;SODIMAC PERU SA;05020020032;16;6;10.93;1;1;10.93;65.58
01336-10-2013;2/10/2013;SODIMAC PERU SA;02060010010;16;14;7.54;1;1;7.54;105.56
01382-10-2013;7/10/2013;SOL GAS;02010040002;12;1;114.11;1;1;114.11;114.11
01383-10-2013;9/10/2013;SODIMAC PERU SA;01090070006;16;5;46.53;1;1;46.53;232.65
01384-10-2013;9/10/2013;SODIMAC PERU SA;01090070007;16;6;22.46;1;1;22.46;134.76
01385-10-2013;9/10/2013;IMPORTACIONES LOGÍSTICAS IMC S.A.C.;02070010001;16;20;5.3;1;1;5.3;106
01388-10-2013;10/10/2013;SODIMAC PERU SA;02040010002;16;21;28.73;1;1;28.73;603.33
01388-10-2013;10/10/2013;SODIMAC PERU SA;02040020001;16;60;4.66;1;1;4.66;279.6
01388-10-2013;10/10/2013;SODIMAC PERU SA;03010020003;16;5;3.7;1;1;3.7;18.5
01388-10-2013;10/10/2013;SODIMAC PERU SA;01090100001;16;1;13.64;1;1;13.64;13.64
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010001;5;4;16.77;1;1;16.77;67.08
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010002;5;1;39.74;1;1;39.74;39.74
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010003;16;2;15.04;1;1;15.04;30.08
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010004;16;4;1.27;1;1;1.27;5.08
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010005;23;1;5.82;1;1;5.82;5.82
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010006;16;4;1.27;1;1;1.27;5.08
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010007;16;2;81.37;1;1;81.37;162.74
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010008;16;2;81.94;1;1;81.94;163.88
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010009;16;2;62.05;1;1;62.05;124.1
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010010;16;2;108.98;1;1;108.98;217.96
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010011;16;3;4.85;1;1;4.85;14.55
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010012;16;1;1.88;1;1;1.88;1.88
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010013;16;1;2.03;1;1;2.03;2.03
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010014;16;3;6.2;1;1;6.2;18.6
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010015;16;5;0.93;1;1;0.93;4.65
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010016;16;2;14.07;1;1;14.07;28.14
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010017;20;2;0.76;1;1;0.76;1.52
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010018;16;1;6.77;1;1;6.77;6.77
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010019;16;1;3.74;1;1;3.74;3.74
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010020;16;1;7.94;1;1;7.94;7.94
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010021;16;24;0.14;1;1;0.14;3.36
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010022;16;24;0.14;1;1;0.14;3.36
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010023;16;24;0.14;1;1;0.14;3.36
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010024;16;36;2.71;1;1;2.71;97.56
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010025;16;12;2.71;1;1;2.71;32.52
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010026;24;1;13.13;1;1;13.13;13.13
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010027;25;1;7.37;1;1;7.37;7.37
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010028;26;1;3.22;1;1;3.22;3.22
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010029;23;1;19.41;1;1;19.41;19.41
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010030;16;24;0.27;1;1;0.27;6.48
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010031;16;24;0.27;1;1;0.27;6.48
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010032;16;24;0.27;1;1;0.27;6.48
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010033;16;1;12.45;1;1;12.45;12.45
01402-10-2013;11/10/2013;COMERCIAL LI S.A.;06030010034;16;2;3.64;1;1;3.64;7.28
01404-10-2013;11/10/2013;SODIMAC PERU SA;05020020032;16;4;10.93;1;1;10.93;43.72
01404-10-2013;11/10/2013;SODIMAC PERU SA;05020020030;16;6;28.47;1;1;28.47;170.82
01404-10-2013;11/10/2013;SODIMAC PERU SA;05020020033;16;12;1.19;1;1;1.19;14.28
01404-10-2013;11/10/2013;SODIMAC PERU SA;03010020002;16;2;14.32;1;1;14.32;28.64
01404-10-2013;11/10/2013;SODIMAC PERU SA;05010010003;16;1;10.93;1;1;10.93;10.93
01404-10-2013;11/10/2013;SODIMAC PERU SA;05020020034;16;12;1.53;1;1;1.53;18.36
01405-10-2013;11/10/2013;SEDISA SAC;01100010001;7;60;7.87;1;1;7.87;472.2
01405-10-2013;11/10/2013;SEDISA SAC;01100010010;7;60;7.8;1;1;7.8;468
01405-10-2013;11/10/2013;SEDISA SAC;01100010015;7;150;10.58;1;1;10.58;1587
01407-10-2013;11/10/2013;GASES Y TECNOLOGÍA S.R.L.;02010010001;17;100;14;1;1;14;1400
01407-10-2013;11/10/2013;GASES Y TECNOLOGÍA S.R.L.;02010030005;17;100;4.5;1;1;4.5;450
01407-10-2013;11/10/2013;GASES Y TECNOLOGÍA S.R.L.;02010020003;7;150;4;1;1;4;600
01408-10-2013;11/10/2013;SOL GAS;02010040002;12;2;114.11;1;1;114.11;228.22
01409-10-2013;11/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010034;16;125;2.43;1;1;2.43;303.75
01410-10-2013;11/10/2013;SODIMAC PERU SA;03010020004;16;12;19.83;1;1;19.83;237.96
01411-10-2013;11/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010023;16;50;1.73;1;1;1.73;86.5
01411-10-2013;11/10/2013;DIMARI TOTAL SECURITY EIRL ;02060030024;16;24;4.85;1;1;4.85;116.4
01411-10-2013;11/10/2013;DIMARI TOTAL SECURITY EIRL ;02060020004;7;10;2.25;1;1;2.25;22.5
01412-10-2013;11/10/2013;QUIMICA INDUSTRIAL SALKANTAY SAC;01090090011;3;8;10.51;1;1;10.51;84.08
01413-10-2013;11/10/2013;SODIMAC PERU SA;05020010008;16;5;32.97;1;1;32.97;164.85
01413-10-2013;11/10/2013;SODIMAC PERU SA;05020010009;16;15;24.49;1;1;24.49;367.35
01413-10-2013;11/10/2013;SODIMAC PERU SA;05020010010;16;6;21.1;1;1;21.1;126.6
01418-10-2013;14/10/2013;GASES Y TECNOLOGÍA S.R.L.;02010010001;17;60;14;1;1;14;840
01418-10-2013;14/10/2013;GASES Y TECNOLOGÍA S.R.L.;02010030005;17;30;4.5;1;1;4.5;135
01419-10-2013;14/10/2013;SEDISA SAC;01100010010;7;100;7.8;1;1;7.8;780
01419-10-2013;14/10/2013;SEDISA SAC;01100010001;7;100;7.87;1;1;7.87;787
01336-10-2013;2/10/2013;SODIMAC PERU SA;05020020031;16;9;47.97;1;1;47.97;431.73
01420-10-2013;11/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010033;16;50;1.73;1;1;1.73;86.5
01420-10-2013;11/10/2013;DIMARI TOTAL SECURITY EIRL ;02060030024;16;12;4.85;1;1;4.85;58.2
01420-10-2013;11/10/2013;DIMARI TOTAL SECURITY EIRL ;02060030025;16;12;4.3;1;1;4.3;51.6
01421-10-2013;14/10/2013;QUIMICA INDUSTRIAL SALKANTAY SAC;01090090011;3;20;10.51;1;1;10.51;210.2
01425-10-2013;14/10/2013;GASES Y TECNOLOGÍA S.R.L.;02010030005;17;60;4.5;1;1;4.5;270
01426-10-2013;14/10/2013;SEDISA SAC;01100010010;7;60;7.8;1;1;7.8;468
01427-10-2013;14/10/2013;SODIMAC PERU SA;01010030017;16;2000;8.54;1;1;8.54;17080
01427-10-2013;14/10/2013;SODIMAC PERU SA;03010020001;16;1;287.28;1;1;287.28;287.28
01427-10-2013;14/10/2013;SODIMAC PERU SA;03010020005;16;3;287.28;1;1;287.28;861.84
01428-10-2013;14/10/2013;SEDISA SAC;01100010001;7;80;7.87;1;1;7.87;629.6
01428-10-2013;14/10/2013;SEDISA SAC;01100010010;7;80;7.8;1;1;7.8;624
01429-10-2013;14/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010034;16;80;2.43;1;1;2.43;194.4
01423-10-2013;14/10/2013;MIXERCON S.A.;01030010003;17;8;295;1;1;295;2360
01430-10-2013;14/10/2013;SEDISA SAC;01100010001;7;200;7.87;1;1;7.87;1574
01430-10-2013;14/10/2013;SEDISA SAC;01100010010;7;200;7.8;1;1;7.8;1560
01430-10-2013;14/10/2013;SEDISA SAC;01100010002;7;60;7.79;1;1;7.79;467.4
01430-10-2013;14/10/2013;SEDISA SAC;01100010012;7;60;7.68;1;1;7.68;460.8
01430-10-2013;14/10/2013;SEDISA SAC;01100010017;7;165;5.11;1;1;5.11;843.15
01433-10-2013;14/10/2013;SEDISA SAC;01100010010;7;400;7.8;1;1;7.8;3120
01433-10-2013;14/10/2013;SEDISA SAC;01100010001;7;400;7.87;1;1;7.87;3148
01466-10-2013;18/10/2013;MANIOPERU SAC;05020020036;2;2;122.881355;1;1;122.881355;245.76271
01466-10-2013;18/10/2013;MANIOPERU SAC;05020020037;2;2;72.033898;1;1;72.033898;144.067796
01466-10-2013;18/10/2013;MANIOPERU SAC;05020020039;2;6;72.033898;1;1;72.033898;432.203388
01439-10-2013;15/10/2013;DIMARI TOTAL SECURITY EIRL ;02060030024;16;24;4.85;1;1;4.85;116.4
01439-10-2013;15/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010033;16;50;1.73;1;1;1.73;86.5
01439-10-2013;15/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010025;16;50;1.35;1;1;1.35;67.5
01439-10-2013;15/10/2013;DIMARI TOTAL SECURITY EIRL ;02060020004;7;50;2.25;1;1;2.25;112.5
01439-10-2013;15/10/2013;DIMARI TOTAL SECURITY EIRL ;02060020001;16;500;0.42;1;1;0.42;210
01439-10-2013;15/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010035;16;200;5;1;1;5;1000
01440-10-2013;15/10/2013;DIMARI TOTAL SECURITY EIRL ;02060030024;16;24;4.85;1;1;4.85;116.4
01440-10-2013;15/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010033;16;50;1.73;1;1;1.73;86.5
01440-10-2013;15/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010024;16;50;1.51;1;1;1.51;75.5
01440-10-2013;15/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010025;16;50;1.35;1;1;1.35;67.5
01440-10-2013;15/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010021;16;25;1.37;1;1;1.37;34.25
01440-10-2013;15/10/2013;DIMARI TOTAL SECURITY EIRL ;02060040006;16;12;4.98;1;1;4.98;59.76
01440-10-2013;15/10/2013;DIMARI TOTAL SECURITY EIRL ;02060020004;7;50;2.25;1;1;2.25;112.5
01440-10-2013;15/10/2013;DIMARI TOTAL SECURITY EIRL ;02060020001;16;500;0.42;1;1;0.42;210
01440-10-2013;15/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010034;16;200;2.43;1;1;2.43;486
01440-10-2013;15/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010035;16;150;5;1;1;5;750
00002-10-2013;15/10/2013;A & A REPRESENTACIONES Y SERVICIOS S.R.L. - AYARYS S.R.L.;01010010001;1;2;90.12;1;1;90.12;180.24
01442-10-2013;15/10/2013;GASES Y TECNOLOGÍA S.R.L.;02010010001;17;100;14;1;1;14;1400
01448-10-2013;16/10/2013;SODIMAC PERU SA;03010020009;16;25;20.762711;1;1;20.762711;519.067775
01448-10-2013;16/10/2013;SODIMAC PERU SA;02060010037;16;6;1.440677;1;1;1.440677;8.644062
01445-10-2013;15/10/2013;V & MADERAS S.A.C.;02040030001;16;50;8.47;1;1;8.47;423.5
01448-10-2013;16/10/2013;SODIMAC PERU SA;02060010038;16;6;1.525423;1;1;1.525423;9.152538
01443-10-2013;15/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010034;16;100;2.43;1;1;2.43;243
01449-10-2013;16/10/2013;MIXERCON S.A.;01030010001;17;31;230;1;1;230;7130
01436-10-2013;15/10/2013;EMBOTELLADORA MACARENA E.I.R.L.;06040010001;16;15;8.474666;1;1;8.474666;127.11999
01451-10-2013;16/10/2013;SODIMAC PERU SA;03010020011;16;14;22.542372;1;1;22.542372;315.593208
01453-10-2013;16/10/2013;DIMARI TOTAL SECURITY EIRL ;05020020022;18;4;27.97;1;1;27.97;111.88
01453-10-2013;16/10/2013;DIMARI TOTAL SECURITY EIRL ;05020020023;18;10;27.97;1;1;27.97;279.7
01453-10-2013;16/10/2013;DIMARI TOTAL SECURITY EIRL ;05020020024;18;6;27.97;1;1;27.97;167.82
01454-10-2013;17/10/2013;SEDISA SAC;01100010015;7;150;10.58;1;1;10.58;1587
01456-10-2013;17/10/2013;DIMARI TOTAL SECURITY EIRL ;06020010004;28;2;299.66;1;1;299.66;599.32
01456-10-2013;17/10/2013;DIMARI TOTAL SECURITY EIRL ;05020020035;16;3;237.5;1;1;237.5;712.5
01457-10-2013;17/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010034;16;150;2.43;1;1;2.43;364.5
01457-10-2013;17/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010021;16;50;1.37;1;1;1.37;68.5
01457-10-2013;17/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010024;16;50;1.51;1;1;1.51;75.5
01457-10-2013;17/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010025;16;50;1.35;1;1;1.35;67.5
01457-10-2013;17/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010039;16;25;1.22;1;1;1.22;30.5
01457-10-2013;17/10/2013;DIMARI TOTAL SECURITY EIRL ;01090060001;16;20;7.2;1;1;7.2;144
01457-10-2013;17/10/2013;DIMARI TOTAL SECURITY EIRL ;02060020004;7;10;2.25;1;1;2.25;22.5
01457-10-2013;17/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010004;16;20;2.86;1;1;2.86;57.2
01457-10-2013;17/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010035;16;25;5;1;1;5;125
01457-10-2013;17/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010007;16;10;8.98;1;1;8.98;89.8
01457-10-2013;17/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010033;16;25;1.73;1;1;1.73;43.25
01457-10-2013;17/10/2013;DIMARI TOTAL SECURITY EIRL ;02060030010;16;2;3.81;1;1;3.81;7.62
01457-10-2013;17/10/2013;DIMARI TOTAL SECURITY EIRL ;02060030011;16;2;5.93;1;1;5.93;11.86
01457-10-2013;17/10/2013;DIMARI TOTAL SECURITY EIRL ;06020010003;16;8;18.17;1;1;18.17;145.36
01458-10-2013;17/10/2013;QUIMICA INDUSTRIAL SALKANTAY SAC;01090090011;3;12;10.51;1;1;10.51;126.12
01452-10-2013;16/10/2013;DIMARI TOTAL SECURITY EIRL ;05020030002;16;14;25.7;1;1;25.7;359.8
01452-10-2013;16/10/2013;DIMARI TOTAL SECURITY EIRL ;05020030001;16;18;31.93;1;1;31.93;574.74
01459-10-2013;17/10/2013;GASES Y TECNOLOGÍA S.R.L.;02010010001;17;10;14;1;1;14;140
01460-10-2013;17/10/2013;SODIMAC PERU SA;01090070008;16;1;67.96661;1;1;67.96661;67.96661
01460-10-2013;17/10/2013;SODIMAC PERU SA;05010020014;16;1;59.237288;1;1;59.237288;59.237288
01465-10-2013;18/10/2013;SODIMAC PERU SA;03010030003;16;6;80.508474;1;1;80.508474;483.050844
01464-10-2013;18/10/2013;SODIMAC PERU SA;01030020001;16;1;59.237288;1;1;59.237288;59.237288
01464-10-2013;18/10/2013;SODIMAC PERU SA;03010020012;16;3;222.7966;1;1;222.7966;668.3898
01464-10-2013;18/10/2013;SODIMAC PERU SA;03010020013;22;10;22.79661;1;1;22.79661;227.9661
01466-10-2013;18/10/2013;MANIOPERU SAC;05030030013;2;5;44.068;1;1;44.068;220.34
01426-10-2013;14/10/2013;SEDISA SAC;01100010001;7;40;7.87;1;1;7.87;314.8
01448-10-2013;16/10/2013;SODIMAC PERU SA;03010020010;16;3;2.457627;1;1;2.457627;7.372881
01500-10-2013;24/10/2013;DIMARI TOTAL SECURITY EIRL ;02060020004;7;10;2.25;1;1;2.25;22.5
01500-10-2013;24/10/2013;DIMARI TOTAL SECURITY EIRL ;02060010033;16;10;1.73;1;1;1.73;17.3
01467-10-2013;18/10/2013;SERVICIOS MULTIPLES GREEN CAR S.A.C.;01030030001;17;10;45;1;1;45;450
00003-10-2013;15/10/2013;;01010010001;1;1;10.987654;1;1;10.987654;10.987654
00003-10-2013;15/10/2013;;01010020009;1;10;1.123;1;1;1.123;11.23
01472-10-2013;19/10/2013;SERVICIOS MULTIPLES GREEN CAR S.A.C.;01030030001;17;10;45;1;1;45;450
01473-10-2013;19/10/2013;SERVICIOS MULTIPLES GREEN CAR S.A.C.;01030030001;17;10;45;1;1;45;450
